,Division,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
44,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Pizza Roma,23.791441732431526,90.41875216882492,Pizza Place
45,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Nando's (Gulshan),23.776582057100864,90.41662438343621,Portuguese Restaurant
46,Dhaka,Dhaka,23.779814950000002,90.36178191089084,The American Club,23.80231882134747,90.40985352120094,Nightclub
47,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Westin Dhaka Executive Club Lounge,23.79377203398026,90.41441190802266,Lounge
48,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Fish & Co.,23.776834533928014,90.41655931725954,Fish & Chips Shop
49,Dhaka,Dhaka,23.779814950000002,90.36178191089084,El Toro,23.777889945822697,90.4167192353867,Mexican Restaurant
50,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Astorion,23.78844416148614,90.41427069821798,Clothing Store
51,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Cafe BBQ,23.800032,90.411845,Café
52,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Saltz,23.799106081259087,90.41218764345105,Seafood Restaurant
53,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Chobir Hat,23.735492473896194,90.39567103945569,Art Gallery
54,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Dutch Club Dhaka,23.80317211579511,90.4142191663259,Nightclub
55,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Time Out,23.79226840677251,90.40930676140928,Asian Restaurant
56,Dhaka,Dhaka,23.779814950000002,90.36178191089084,"Fourpoints by Sheraton, Doreen Tower, Dhaka",23.7944132,90.4137354,Hotel
57,Dhaka,Dhaka,23.779814950000002,90.36178191089084,"Bella Italia, Dhanmondi",23.747300720084702,90.37061582870327,Italian Restaurant
58,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Sung Food Garden,23.73402349822403,90.4100307085148,Indian Restaurant
59,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Dhanmondi Rd 27,23.75341925266087,90.37209758115236,Scenic Lookout
60,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Butlers Chocolate Cafe,23.800364648171378,90.41184933456084,Café
61,Dhaka,Dhaka,23.779814950000002,90.36178191089084,North End Coffee Roasters,23.78205374160135,90.41633651810209,Café
62,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Holey Artisan Bakery  ,23.802536645833726,90.41671028176793,Bakery
63,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Capricorn's World,23.750418890432083,90.39082897540597,Restaurant
64,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Pizza Hut,23.747604223327837,90.3704551614851,Pizza Place
65,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Coffee Bean & Tea Leaf,23.788336535936857,90.41858186330006,Coffee Shop
66,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Shahbag,23.738535107901406,90.39585497706712,Plaza
67,Dhaka,Dhaka,23.779814950000002,90.36178191089084,New Market,23.733606124073624,90.38439297784305,Market
68,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Meena Bazar,23.753046068736804,90.36954268064675,Department Store
69,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Barista Lavazza,23.750007982142495,90.39379439146728,Café
70,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Nilkhet Book Market,23.733882219342053,90.38697918880398,Bookstore
71,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Fools' Diner,23.790764437529234,90.40754706483528,Japanese Restaurant
72,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Ajo,23.74544412723205,90.37634581734602,Café
73,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Mostakim's Chap,23.766817751609363,90.364710688591,Asian Restaurant
74,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Flavours Music Cafe,23.74481612733391,90.3723274523084,Café
75,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Agora Super Store,23.73826837670933,90.37745849844407,Convenience Store
76,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Star Kabab & Reataurant,23.73762066075475,90.38696841709088,Bakery
77,Dhaka,Dhaka,23.779814950000002,90.36178191089084,FDC,23.752255970511463,90.40065786652262,Art Gallery
78,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Santoor,23.751812202551445,90.37760221550857,Indian Restaurant
79,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Burger n Boost (Dhanmondi),23.743977213743978,90.36947254793729,Burger Joint
80,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Benaroshi Polli,23.80987549715224,90.36953038147652,Clothing Store
